Title,Company,Experience,Location,Salary,Skills
Data Verification Analyst,Foundation Ai,0-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,EXL,3-6 Yrs,"Gurugram, Bengaluru",Not Mentioned,"sas, Python, sql, Pyspark, Pandas, Credit Risk, Data Visualization, Seaborn"
Data Analyst,Thoucentric,3-5 Yrs,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",Not Mentioned,"Unix, Data analysis, Automation, Web analytics, Analytical, Consulting, Data processing, Windows"
Data Analyst,Expedite Software Service,2-7 Yrs,Noida,Not Mentioned,"Computer science, Data analysis, Excel, Business analytics, Stored procedures, data visualization, Troubleshooting, Information technology"
Data Analyst - Salesforce,Top OEM,4-9 Yrs,Faridabad,Not Mentioned,"salesforce, python, Data Analysis, tableau, power bi, Data, Bi, Analysis"
Data Analyst,curious for tomarrow,7-10 Yrs,Hyderabad,Not Mentioned,"python, DWH, Data Visualization, etl, sql, Data analysis, Data, Data warehousing"
Data Analyst,Growtharc Technologies,8-13 Yrs,"Hyderabad, Bengaluru",Not Mentioned,"Root cause analysis, Excel, Sales operations, Agile scrum, Business Analyst, Business Data Analyst, Supply chain operations, Corporate finance"
Data & Records Governance Analyst,Barclays,3-8 Yrs,Pune,Not Mentioned,"global operations, Analyst, Cloud computing, Data management, Records management, Data quality, Continuous improvement, Operations"
Data Analyst (8+ years of experience),Western Digital,0-7 Yrs,Bengaluru,Not Mentioned,"Supply chain, Data analysis, ERP, Data management, Data modeling, Data quality, Data mining, Business intelligence"
Data Analyst,Object Technology Solutions,5-10 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not Mentioned,"Automation, Coding, Data modeling, Machine learning, Application development, microsoft, Oracle, SQL"
Data Analyst,Digital Glyde,0-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not Mentioned,"Data analysis, Excel, Statistical analysis, Analytical, power bi, data integrity, Data Analyst, data visualization"
Data Analyst,Hiring for our client,1-3 Yrs,"Noida, Gurugram, Delhi / NCR",Not Mentioned,"Power Bi, Data Visualization, Data Analytics, Data Analysis, Tableau, Machine Learning, SQL, Python"
Data Analyst - Immediate Hiring,Simply Vyapar Apps,2-4 Yrs,Bengaluru(HSR Layout),Not Mentioned,"data analysis, SQL, data models, database design development, Regression Analysis, data mining, Data Extraction, Mathematics"
DATA ANALYST / DATA EXECUTIVE,Anutech Solutions,0-3 Yrs,Vijayawada,Not Mentioned,"Data Analyst, Data Executive, Data analysis, Data"
